Week,temp,part,cmort
231,90.75,42.15,84.68
232,86.58,37.38,81.53
233,84.8,30.58,89.2
234,80.32,23.68,74.51
235,80.23,33.1,81.85
236,82.88,36.67,81.97
237,85,38.6,85.01
238,88.96,45.79,86.98
239,78.11,33.46,81.67
240,85.06,50.93,91.11
241,76.39,41.47,83.38
242,74.23,28.15,86.18
243,76.42,54.62,89.93
244,83.68,59.46,91.82
245,67.62,35.47,92.27
246,64.36,52.77,89.29
247,81.7,65.32,85.41
248,72.67,66.49,96.78
249,73.59,62.46,83.6
250,69.09,60.38,98.63
251,66.75,72.83,90.86
252,70.03,53.78,94.36
253,69.53,81.09,97.52
254,55.33,44.05,108.68
255,63.17,65.68,107.23
256,66,45.98,107.08
257,80.86,77.13,113.39
258,69.57,69.77,105.51
259,54.85,51.34,111.9
260,64.21,43.97,110.44
261,62.12,45.11,95.42
262,66.21,49.49,97.78
263,69.77,68.46,90.38
264,60.84,32.69,86.89
265,59.44,35.97,91.59
266,65.65,40.71,85.51
267,64.09,27.56,88.16
268,60.63,38.52,87.03
269,60.19,24.95,88.61
270,63.92,28.94,96.96
271,66.83,27.64,80.03
272,69.48,34.4,80.53
273,74.17,38.51,76.46
274,69.29,27.59,78.85
275,70.86,27.26,87.03
276,75.34,30.53,82.27
277,72.66,28.93,78.92
278,74.91,31.07,72.75
279,70.17,21.8,77.75
280,81.41,39.47,83.79
281,82.03,32.09,82.13
282,85.76,38.39,76.42
283,78.54,24.72,74.58
284,84.44,36.54,79.61
285,82.87,33.27,76.52
286,86.52,42.32,79.27
287,77.5,24.6,74.7
288,81.72,34.57,75.49
289,82.61,42.28,82.82
290,83.09,42.04,80.29
291,75.74,32.93,80.05
292,92.27,55.42,78.64
293,86.41,47.8,79.4
294,83.03,49.69,71.02
295,73.16,32.25,73.55
296,78.82,62.39,79.6
297,70.51,39.47,85.08
298,76.06,71.81,90.14
299,71.35,66.09,82.26
300,76.99,66.65,86.75
301,72.96,87.02,90.11
302,66.78,70.08,94.86
303,74.69,75.04,89.68
304,64.15,57.53,90.16
305,67.28,86.54,85.73
306,70.73,74.91,96.82
307,63.84,65.11,100.37
308,68.01,77.79,93.43
309,84.19,68.15,94.12
310,71.08,56.86,89.26
311,81.45,72.82,91.81
312,56.52,28.88,97.4
313,66.95,46.97,102.71
314,68.92,46.06,101.94
315,68.9,45.68,97.4
316,58.7,34.93,96.12
317,68.56,42.69,105.45
318,77.03,49.61,94.34
319,74.53,34.81,92.51
320,65.47,32.69,88.47
321,63.42,37.25,85.47
322,65.54,30.87,85.7
323,72.34,33.85,84.48
324,75.18,37.26,85.63
325,69.01,30.77,79.67
326,81.77,41.64,80.78
327,72.28,24.47,74.58
328,71.28,27.11,76.32
329,75.07,26.35,80.37
330,75.16,31.02,83.3
331,81.58,31.12,82.98
332,97.05,51.07,91.34
333,82.14,31.41,78.57
334,86.48,38.8,76.68
335,76.96,20.25,76.47
336,82.26,39.55,73.66
337,79.43,24.78,78.61
338,81.49,34.29,83.4
339,79.63,28.97,71.96
340,79.22,23.49,77.17
341,89.34,43.61,72.38
342,88.24,35.53,79.52
343,80.14,37.07,72.05
344,73.39,26.8,75.86
345,76.39,32.85,74.32
346,76.47,32.26,77.7
347,91.3,62.64,82.99
348,77.99,46.12,77.79
349,76.1,39.81,77.42
350,78.61,58.6,85.55
351,92.59,62.88,85.33
352,68.47,55.21,82.16
353,81.56,70.06,83.74
354,67.83,68.84,84.4
355,76.99,72.52,90.32
356,73.07,76.28,82.74
357,74.46,70.51,91.5
358,70.52,82.92,96.23
359,61.91,59.98,92.9
360,57.1,49.06,92.3
361,71.27,73.6,91.76
362,71.62,66.53,92.34
363,67.98,58.9,78.91
364,71.32,73.23,88.06
365,79.33,63.09,81.91
366,77.07,59.88,79.68
367,64.14,38.2,83.2
368,70.01,50.47,84.05
369,67.66,42.62,85.8
370,64.96,43.78,84.39
371,64.32,32.37,91.74
372,64.39,38.38,90.65
373,72.46,38.56,89.67
374,69.26,29.4,86.24
375,79.96,42.67,91.46
376,72.32,26.34,83.3
377,65.33,25.97,83.05
378,63.72,25.43,74.14
379,72.99,31.87,90.12
380,70.59,24.29,83.84
381,82.12,39.16,79.94
382,71.94,25.12,74.65
383,77.99,29.09,77.89
384,79.02,44.28,78.06
385,83.07,30.82,74.96
386,81.49,35.48,77.9
387,82.91,32,73.65
388,87.11,42.21,79.32
389,92.02,50.72,82.91
390,85.54,35.68,79.48
391,84.15,42.33,73.21
392,82.93,38.64,76.46
393,81.01,31.34,73.76
394,82.98,35.67,68.11
395,86.47,46.25,76.53
396,73.07,28.99,68.46
397,78.81,40.95,72.84
398,78.61,43.52,79.92
399,83.8,55.96,73.26
400,80.63,62.68,79.55
401,75.79,55.11,77.02
402,76.87,58.2,78.39
403,75.78,46.54,81.86
404,78.31,70.18,88.2
405,70.57,63.47,75.69
406,83.35,54.2,88.85
407,79.17,79.33,82.52
408,69.94,84.63,87.44
409,66.75,61.3,82.91
410,66.62,45.23,92.84
411,62.94,49.39,91.85
412,64.65,55.44,89.82
413,63.45,52.89,96.84
414,63.91,49.81,99.56
415,69.26,70.13,105.1
416,68.55,51.2,95.7
417,59.6,33.42,93.46
418,68.71,51.38,99.27
419,68.35,44.75,90.39
420,63.91,29.73,85.85
421,64.59,40.61,86.69
422,78.16,38.54,92.94
423,71.89,33.52,86.63
424,68.35,27.99,89.78
425,65.57,33.03,83.22
426,65.92,28.45,86.04
427,71.91,34.62,81.53
428,68.16,28.5,77.46
429,73.9,36.68,76.63
430,83.73,38.51,82.09
431,79.38,36.46,81.22
432,78.17,31.67,70.96
433,77.3,29.37,80.17
434,83.43,45.1,78.48
435,83.93,37.34,76.8
436,87.74,40.83,77.63
437,77.66,26.23,74.31
438,80.67,41.39,76.3
439,91.38,54.79,85.97
440,83.42,48.53,73.07
441,86.22,49.52,76.29
442,86.73,48.24,75.21
443,83.13,38.98,79.18
444,82.4,48.3,78.25
445,81.07,50.38,77.24
446,86.72,46.98,81.55
447,79.65,37.37,75.46
448,73.96,33.96,76.86
449,97.15,42,88.43
450,91.51,83.31,92.93
451,80.58,56.31,77.65
452,86.14,80.37,78.74
453,77.45,44.22,73.63
454,74.57,56.81,82.11
455,77.18,65.55,80.81
456,65.59,54.19,84.34
457,67.1,59,83.48
458,62.08,34.21,76.4
459,67.25,70.47,92.77
460,61.28,45.77,88.09
461,68.06,58.69,96.2
462,61.26,68.59,100.28
463,62.92,69.01,107.58
464,64.12,41.98,93.73
465,62.73,57.91,87.33
466,60.33,40.87,88.11
467,58.26,49.12,88.07
468,56.32,36.65,100.81
469,70.43,97.94,95.52
470,61.93,40.38,91.14
471,62.81,41.46,85.67
472,66.1,52.88,88.24
473,76.3,66.78,88.61
474,58.65,33.82,85.64
475,64.99,36.4,87.29
476,66.89,35.32,83.92
477,72.41,41.24,89.15
478,72.35,37.87,87.61
479,71.47,45.54,81.99
480,74.14,37.26,84.86
481,65.76,35.95,81.17
482,83.13,42.48,87.33
483,73.7,42.84,86.4
484,76.09,34.24,85.9
485,69.63,37.36,79.01
486,86.79,39.51,83.49
487,86.49,54.25,87.88
488,78.49,37.89,74.94
489,84.7,48.03,80.32
490,80.75,43.51,81.75
491,84.53,48.69,78.68
492,85.34,54.48,74.62
493,83.88,49.22,74.16
494,84.91,50.34,71.5
495,84.63,55.97,75.89
496,78.23,35.5,74.89
497,86.6,62.81,77.36
498,79.98,38.61,73.63
499,90.93,63.6,81.17
500,93.43,57.53,83.91
501,90.16,54.97,82.36
502,80.38,47.22,79.74
503,82.37,69.14,73.46
504,75.35,42.17,79.03
505,72.29,45.59,76.56
506,75.68,70.72,78.52
507,73.33,57.58,89.43
508,70.52,62.61,85.49
