year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2006,9,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3276,382,69.45,15.75,70.9,1.79,224.12,62,5,21932,2559,1475,4511,44,13343
2006,10,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3603,623,108.38,10.45,70.39,1.94,431.84,91,4,34415,5200,993,2980,70,25172
2006,11,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3439,496,102.91,2.28,74.93,3.44,312.45,82,1,21877,4053,289,2938,84,14513
2006,12,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3492,714,145.72,20.16,74.07,1.86,472.19,81,11,37388,5741,2943,3631,43,25030
2007,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3614,531,117.41,15.69,67.45,0.51,329.94,212,15,21002,3984,1062,2241,21,13694
2007,2,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3260,604,124.22,16.99,47.06,1.35,414.38,93,4,29386,5627,2209,1951,33,19566
2007,3,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3720,741,118.87,41.61,118.27,1.53,460.71,66,11,45611,5080,7307,7223,23,25978
2007,4,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3676,625,99.27,40.52,92.02,1.85,391.33,34,14,33272,3789,3797,5241,188,20257
2007,5,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3759,810,122.06,57.36,196.71,1.95,431.92,42,18,50451,6491,7219,10154,48,26539
2007,6,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3737,1149,147.92,79.13,260.43,3.57,657.95,45,38,68692,6936,8829,13985,185,38757
2007,7,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3865,1075,157,54.92,180.28,0.81,682,58,33,57515,7496,4275,7850,23,37871
2007,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3914,789,123.91,28.48,113.93,0.42,522.27,55,16,43492,5730,2051,5232,8,30471
2007,9,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3602,517,68.93,12.93,91.14,3.73,340.27,48,8,23120,2812,855,3390,327,15736
2007,10,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3811,576,92.28,15.79,101.99,1.79,364.15,25,3,24249,3742,1530,3886,36,15055
2007,11,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3752,547,97.18,5.12,68.13,0.97,375.6,35,0,23971,3463,387,2357,38,17726
2007,12,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3797,980,168.42,15.36,124.02,2.86,669.33,69,6,45271,6967,1344,5750,58,31152
2008,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3892,677,111.18,15.32,79.73,1.05,469.73,46,2,29376,4052,1441,2472,20,21391
2008,2,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3602,899,132.92,12.92,113.8,1.74,637.63,60,4,49046,7132,1253,4921,37,35703
2008,3,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3935,1052,188.27,44.69,146.74,0.89,671.41,73,47,53617,9957,4853,5763,16,33028
2008,4,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3913,671,98.09,30.87,135.03,0.44,406.57,26,11,38033,4500,4635,7598,8,21292
2008,5,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3951,785,124.71,27.47,149.5,0.59,482.73,39,15,38636,5866,3613,7363,47,21747
2008,6,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3922,943,158.51,42.67,166.31,2.69,572.81,17,12,52185,7723,3227,7393,47,33795
2008,7,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",4025,657,118.06,22.72,82.08,2.85,431.28,37,19,32304,5414,1493,3043,107,22247
2008,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3926,643,122.32,15.1,116.27,0,389.31,31,5,28792,6057,901,3818,0,18016
2008,9,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3841,268,67.95,6.38,21.52,1.11,171.05,232,1,10722,2604,487,696,36,6899
2008,10,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3990,407,103.25,6.86,46.66,0.77,249.46,48,0,16144,3587,383,1269,14,10891
2008,11,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3710,382,91.04,11.2,35.37,0.17,244.22,66,3,19611,4681,1417,2006,4,11503
2008,12,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3824,958,176.05,9.6,93.04,1.68,677.63,90,9,55393,8576,866,3750,36,42165
2009,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3811,395,65.45,15.29,41.62,0,272.64,122,1,17425,2545,981,1614,0,12285
2009,2,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3468,230,40.13,7.38,25.04,0,157.45,42,1,10681,2022,383,1010,0,7266
2009,3,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3872,524,104.38,24.11,56.18,1,338.33,60,6,29266,4572,2614,2958,36,19086
2009,4,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3740,636,92.62,41.22,148.97,0.5,352.69,62,14,35972,4280,3084,7387,8,21213
2009,5,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3707,546,93.03,34.58,86.97,1.38,330.04,50,3,27638,4036,2581,3897,32,17092
2009,6,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3686,615,110.62,42.45,66.99,2.06,392.89,47,33,40251,5292,5772,4018,50,25119
2009,7,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3800,576,120.96,24.42,71.77,0.69,358.16,51,2,24670,4401,1104,2272,11,16882
2009,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3690,548,116.85,24.4,72.85,0.64,333.26,41,3,27757,5772,1452,3114,28,17391
2009,9,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3515,350,64.3,21.23,75.15,0,189.31,33,10,15066,2579,1362,3006,0,8119
2009,10,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3652,757,143.51,19.97,121.35,2.83,469.34,30,9,34744,5690,1011,4748,109,23186
2009,11,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3529,229,70.72,12.04,37.26,0,108.98,28,10,8586,2422,587,1148,0,4429
2009,12,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3607,679,151.35,15.12,64,6.12,442.41,83,5,33124,6892,715,2521,156,22840
2010,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3573,484,101.51,14.28,53.02,0.38,314.82,139,3,22406,4075,1122,2319,6,14884
2010,2,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3323,506,126.89,23.54,53.48,1.95,300.14,132,44,26278,5246,2087,3281,111,15553
2010,3,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3773,636,155.48,17.66,65.16,0.79,396.92,80,2,29812,6891,1346,3352,19,18204
2010,4,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3668,457,124.68,5.6,30.61,3.24,292.86,63,2,19568,5237,306,983,153,12889
2010,5,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3654,663,155.71,37.19,111.11,1.38,357.61,64,15,35272,6588,3850,5114,24,19696
2010,6,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3650,726,166.12,33.11,118.57,2.21,405.99,53,14,37969,7622,2299,4568,38,23442
2010,7,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3666,759,191.1,22.14,80.62,1.05,464.09,54,12,37685,8260,1367,3309,21,24728
2010,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3691,522,129.09,7.47,52,0.92,332.52,31,5,23385,5426,346,1682,16,15915
2010,9,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3462,518,97.92,21.28,89.69,1.42,307.69,31,14,22920,3859,1231,3402,53,14375
2010,10,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3563,745,184.78,12.81,63.64,4.27,479.5,21,5,32746,6745,1506,2330,118,22047
2010,11,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3464,709,179.01,4.92,72.26,3.07,449.74,28,3,26566,6286,295,2163,57,17765
2010,12,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3554,889,208.18,5.55,44.37,6.04,624.85,42,0,41375,8175,458,1377,130,31235
2011,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3609,780,186.9,8.83,53.14,2.3,528.83,59,2,32556,7300,596,1826,59,22775
2011,2,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3307,737,142.3,31.7,104.33,3.74,454.93,283,66,41939,6888,4293,5820,245,24693
2011,3,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3696,604,142.53,4.46,45.87,0.91,410.23,52,1,27700,6355,378,1418,27,19522
2011,4,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3529,746,153.05,50.23,124.42,0.91,417.39,136,16,42095,6456,5133,7370,24,23112
2011,5,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3660,887,178.96,60.98,167.56,1.35,478.15,73,20,59774,8378,8917,12828,39,29612
2011,6,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3629,617,151.89,7.09,54.95,3.81,399.26,45,5,30285,6268,315,1954,325,21423
2011,7,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3629,495,126.48,12.55,29.54,0.05,326.39,37,1,25742,6215,544,836,2,18145
2011,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3684,479,112.11,5.22,28.94,0.81,331.92,29,0,25312,5854,145,759,44,18510
2011,9,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3439,462,97.22,13.03,42.68,2.34,306.74,26,9,23182,4344,1132,2187,88,15431
2011,10,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3572,381,91.46,16.06,55.39,4.9,213.19,40,20,20094,5169,2111,2311,137,10366
2011,11,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3408,345,85.64,4.41,44.16,2.41,208.38,28,5,14175,3838,155,1102,56,9024
2011,12,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3513,491,122.3,3.74,70.05,3.42,291.48,33,6,21073,5208,255,2216,71,13323
2012,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3588,309,81.82,5.09,48.48,0.4,173.21,48,10,13844,3427,193,1967,10,8247
2012,2,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3399,359,90.6,5.91,39.19,1.33,221.97,36,0,14743,3453,279,1218,21,9772
2012,3,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3652,544,121.89,25.64,69.14,0.08,327.24,43,6,33830,7421,4470,4131,2,17806
2012,4,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3580,473,102.52,29.11,84.64,6.94,249.78,84,22,24490,5523,1955,3433,244,13335
2012,5,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3671,514,127.92,23.71,72.24,0.5,289.63,56,9,23615,5246,1563,3376,8,13422
2012,6,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3550,649,169.46,27.76,85.72,1.51,364.55,59,3,36834,8848,3287,5325,33,19341
2012,7,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3694,729,149,27.83,68.22,0.51,483.44,54,6,36789,6724,1610,3033,29,25393
2012,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3629,547,127.29,15.43,69.99,0.22,334.08,53,12,28226,6430,945,2887,24,17940
2012,9,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3311,331,73.07,14.97,35.38,0.05,207.53,26,0,16621,3438,1030,1602,4,10547
2012,10,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3585,309,72.09,2.54,20.37,1.14,212.86,15,2,16182,3541,189,569,20,11863
2012,11,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3365,306,105.14,2,16.77,1.3,180.79,31,0,16534,6793,165,389,137,9050
2012,12,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3387,629,186.76,11.89,60.97,3.41,365.97,53,4,30062,8831,768,2085,75,18303
2013,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3575,466,105.69,13.48,84.12,0.13,262.58,58,10,19379,4906,902,2985,10,10576
2013,2,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3240,365,84.11,11.08,51.88,0.89,217.04,72,1,16559,3661,1171,1839,17,9871
2013,3,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3688,551,125.55,11.04,58.94,3.46,352.01,29,5,23709,5543,617,1774,98,15677
2013,4,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3680,663,120.02,10.49,127.22,2.05,403.21,32,4,32022,5154,874,5081,158,20755
2013,5,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3764,781,146.29,55.48,142.11,2.28,434.84,34,17,46882,6960,7351,9379,66,23126
2013,6,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3602,876,161.68,25.2,107.21,0.4,581.52,27,5,45227,6935,1724,3458,6,33104
2013,7,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3732,801,175.2,32.76,109.61,1.72,481.71,29,19,43761,10315,2227,4377,114,26728
2013,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3673,766,179.94,22.02,106.89,1.87,455.28,33,12,38579,7383,2405,4885,32,23874
2013,9,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3479,646,148.27,17.56,81.19,1.31,397.67,22,5,29059,5743,1529,3061,114,18612
2013,10,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3681,664,155.72,5.67,75.52,0.13,426.97,18,2,26282,6304,358,2324,3,17293
2013,11,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3353,636,179.93,11,60.87,0.67,383.52,30,2,28879,7771,1027,2540,24,17517
2013,12,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3480,1320,345.41,4.74,118.82,3.56,847.47,85,2,60143,14823,529,4051,92,40648
2014,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3571,1016,249.21,12.27,75.28,2.5,676.75,128,10,59555,13002,773,2834,85,42861
2014,2,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3233,723,173.49,6.33,64.75,0.47,477.95,49,0,30659,7318,319,1970,16,21036
2014,3,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3588,835,217.07,5.48,75.87,0.17,536.41,59,1,38806,9103,462,2713,5,26523
2014,4,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3579,801,194.92,13.16,75.24,1.8,515.88,37,5,36031,8766,841,2355,44,24025
2014,5,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3614,899,214.36,23.56,91.64,2.06,567.37,43,28,55136,10608,2969,7347,57,34155
2014,6,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3528,1149,272.02,31.25,138.07,0.29,707.36,36,13,68654,14796,2203,6818,9,44828
2014,7,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3602,1086,265,14.06,103.77,0,703.17,56,6,60061,15939,693,3736,0,39693
2014,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3398,726,173.91,20.7,66.16,0,465.22,31,9,39171,9958,1004,2949,0,25260
2014,9,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3289,497,112.98,6.24,57.15,0.14,320.49,27,1,24802,6218,279,2001,3,16301
2014,10,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3816,615,154.54,22.13,101.77,1,335.57,36,10,34870,8037,2957,6561,23,17292
2014,11,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",4144,728,223.21,2.23,87.77,0,414.79,46,2,31845,9752,140,2669,0,19284
2014,12,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",4359,1100,332.09,16.94,116.74,3.76,630.47,65,13,53497,15727,1619,4092,175,31884
2015,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",4466,755,234.87,6.4,96.44,1.87,415.43,82,2,33976,10775,489,2944,96,19672
2015,2,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",4074,692,190.13,20.42,118.29,0,363.16,166,4,32441,9074,1299,4119,0,17949
2015,3,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",4530,704,220.96,1.46,105.46,2.46,373.67,105,7,33603,12059,164,3045,342,17993
2015,4,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",4645,857,211.03,44.65,204.74,0,396.57,23,27,44298,11485,3661,8485,0,20667
2015,5,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",4776,1288,317.3,106.66,313.49,2.77,547.78,76,55,78256,18763,10685,14253,74,34481
2015,6,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",4743,1095,341.43,30.92,146.66,1.68,574.31,77,27,62907,20725,2777,5867,35,33503
2015,7,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",4899,1073,322.38,25.58,120.4,0.98,603.66,39,3,56052,17596,1141,4352,22,32941
2015,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5158,769,224.92,25.8,118.3,0.81,399.16,40,5,44223,12341,1894,4707,13,25268
2015,9,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5079,417,126.9,8.75,74.09,1,206.26,20,2,19853,6570,541,1959,20,10763
2015,10,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5250,644,161.76,22.2,203.4,0,256.64,42,53,39773,9048,2913,10128,0,17684
2015,11,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5067,865,233.84,22.04,218.02,1.07,390.04,60,12,41105,11451,1803,8123,22,19706
2015,12,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5238,1089,329.05,22.18,220.98,5.6,511.19,94,43,59675,16812,2695,9741,162,30265
2016,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5205,600,206.24,5.58,113.23,3.07,271.88,68,4,27639,10471,615,3458,68,13027
2016,2,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",4902,356,123.38,6.74,45.53,0.31,180.04,29,2,16731,5778,529,1422,19,8983
2016,3,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5329,1037,253.97,30.68,283.48,5.33,463.55,50,12,49597,12211,3017,10624,276,23469
2016,4,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5070,943,234.42,27.34,256.15,0.28,424.81,78,19,50838,11842,2386,10577,10,26023
2016,5,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5196,914,202.17,43.28,228.78,2.64,437.12,55,63,49109,9414,3994,10469,62,25170
2016,6,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5160,1324,325.35,56.6,288.21,10.99,642.85,113,59,85320,18999,5596,14500,933,45292
2016,7,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5250,1360,383.37,49.09,244.92,1.52,681.1,162,31,88739,25222,4773,11911,170,46663
2016,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5344,1032,232.41,45.01,298.21,0.85,455.51,77,59,56153,12671,5475,12859,76,25072
2016,9,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5097,717,195.33,15.82,223.49,0.32,282.04,16,7,31147,8744,986,7404,6,14007
2016,10,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5245,546,161.65,6.63,109.62,0,268.1,21,1,20969,6761,447,3240,0,10521
2016,11,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5149,754,174.29,12.94,242.66,1,323.12,10,25,32509,8126,890,8244,27,15222
2016,12,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5274,1052,333.86,16.63,153.31,3.58,544.62,37,4,49351,14341,933,5522,146,28409
2017,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5336,1048,260.28,27.84,201.63,0.64,557.62,115,25,50277,12433,2255,8009,14,27566
